id,created_at,text
560443861991182337,2015-01-28 14:26:43,RT @mikeolson: Data storage and visualization over 7.5 millennia. http://t.co/D4HJvEhrPW h/t @datakind
555201934114951168,2015-01-14 03:17:10,@shootbydaylight @Baron_von_Brunk our roof is available for any Lego (and Astronaut) based photo shoots.
553207275838398464,2015-01-08 15:11:07,"RT @brianabelson: Hi internets, I am looking for a talented front end dev for my team @enigma_io. Would prefer full-time but will consider …"
548712197816602624,2014-12-27 05:29:17,RT @chris_whong: .@capntransit @TransportNation @NYURudin @RegionalPlan NYC Boro Taxi Data is here for Download:http://t.co/TMDcQJxxU4 http…
547063458924331009,2014-12-22 16:17:47,"Honored to have been included on @flowingdata’s list of 2014’s best visualizations alongside @mbostock @upshotnyt 

http://t.co/ooCANCnHhf"
545638366386331648,2014-12-18 17:54:58,"pleased to have our work on http://t.co/ImoB86J2uB included on this list of the year’s 15 best infographics
https://t.co/Z8trNvxl6g"
545636398989328386,2014-12-18 17:47:09,"RT @brianabelson: The @enigma_io team open sourced `s3plz` today –  a friendly python module for sending data to/from Amazon S3.

https://t…"
537280201160654849,2014-11-25 16:22:36,Congress: don't ban @SEC_News from collecting #opendata from most companies! @DataCoalition in @TheHill: http://t.co/VDZICuVFko #datanotdocs
532587464779890688,2014-11-12 17:35:21,Nervously awaiting results for this year’s #IIBAwards.  Such an honor to be included on this year’s shortlist for http://t.co/sd3I7YD9fZ !
526061262002995200,2014-10-25 17:22:33,RT @infobeautyaward: We know average temperatures are rising: but are extremes &amp; anomalies on the up as well? Great work from @enigma_io ht…
516903459145388032,2014-09-30 10:52:42,RT @golangprojects: #Hiring in #NYC: Senior Software Engineer at Enigma [@enigma_io] http://t.co/ygXYnmMBxf #python #ruby #golang #docker #…
514541284036714496,2014-09-23 22:26:16,"RT @digiphile: At #CFASummit, Mike Flowers is talking about his work on urban analytics at @NYCGov: http://t.co/BBltuWzdIh Read: http://t.c…"
512918556410146816,2014-09-19 10:58:08,Excellent! France names @HenriVerdier as Chief Data Officer - http://t.co/mBMZ779Ln0
512569694935851008,2014-09-18 11:51:53,@alafritz thanks!
512219969359450112,2014-09-17 12:42:11,"RT @mikeolson: Hey, Mike Flowers has landed. http://t.co/dOzg5ue18z"
510490555537973248,2014-09-12 18:10:07,RT @drewconway: Congrats to Mike Flowers and @enigma_io http://t.co/i1WtkE8l8m
510439988497244160,2014-09-12 14:49:11,RT @timoreilly: A lucky startup! enigma.io nabs Mike Flowers as Chief Analytics Officer http://t.co/bxK71Ejqvm
510422483837915138,2014-09-12 13:39:38,"Delighted to announce that Mike Flowers, former NYC Chief Analytics Officer, will be joining the Enigma team! http://t.co/SybMhH8OnK"
509013244330377216,2014-09-08 16:19:49,RT @Visually: Creating An #Infographic From Start To Finish http://t.co/fvXQm1Zcro via @enigma_io @Blockspring http://t.co/Pv3PkLWiV0
505808679657275392,2014-08-30 20:06:01,RT @pickover: Magnificent cross-section of an undersea cable. $400/foot. (photo: Ann Lingard) http://t.co/QYgfekuTCp
504746626238656512,2014-08-27 21:45:48,"RT @sahuguet: Go Enigma.
Go as in the language.
http://t.co/4bNfeie2vV
@enigma_io"
504273586148741120,2014-08-26 14:26:06,RT @DataKind: Hey #KDD2014!  Check out the talk going on in 10 min in NY Ballroom on our volunteers' work with @Give_Directly! http://t.co/…
504267365245526017,2014-08-26 14:01:23,"Proud that Enigma's @brianabelson is presenting ""Best Social Good Paper"" @kdd_news today - @DataKind @Give_Directly  http://t.co/JUmXU2IbH7"
500006066634371072,2014-08-14 19:48:30,Love open data &amp; transparency? Vote for our panel on open data at this year's #sxsw2015 http://t.co/LwelWIS5km
494886168425943041,2014-07-31 16:43:51,Come to @GA assembly today to hear us talk data science with the community. Excellent lineup of folks from @google @DnBUS and @KaplanNews
494236161209274369,2014-07-29 21:40:57,"we open-sourced a tool for creating browserify projects by running `yo make-it-happen` – not affiliated w/ @JustYoApp
http://t.co/TK6rMTBNp5"
493870676647096320,2014-07-28 21:28:39,"RT @brianabelson: humbled that my work w/ @krvarshney @DataKind &amp; @give_directly was  selected as “Best Social Good Paper” for #kdd2014
htt…"
489246732845588480,2014-07-16 03:14:45,@_jden @hugovom we're in Berlin now as well at @OKFN festival so you are both right ;)
481922458996703232,2014-06-25 22:10:42,Looking forward to talking at @GA assembly tonight! Drop in for some serious data discussions as per usual. https://t.co/zbav05VaQE
474672253435924481,2014-06-05 22:00:58,RT @JessGHarris: Marc DaCosta co-founded @enigma_io to map the universe of public data so you can get more insight from more sources. http:…
472372700909146112,2014-05-30 13:43:22,SEC shouldn’t exempt 60% of public companies from filing reports in #opendata formats http://t.co/3cxXB4cwPf @FinancialCmte @DataCoalition
472371860760702977,2014-05-30 13:40:02,"RT @DataCoalition: If @FinancialCmte exempts 60% of market from #XBRL reporting, @SEC_News might never deliver #opendata to investors. http…"
464797925806469120,2014-05-09 16:03:55,RT @UN_ClimateTalks: Watch 50 years of temperature rise in the U.S. - @NOAA data visualized by @enigma_io http://t.co/YvxkkO6jan #capacityb…
464145418361008128,2014-05-07 20:51:05,Thrilled to be a Data Patner with @NYCBigApps! Come checkout our booth at the #BigApps Launch party tonight at 6:00 @AppNexus
464122569205886977,2014-05-07 19:20:18,"Starting today you can sign up for a free account at http://t.co/OQNINPAAAf and get 10,000 API calls per month! #TechCrunchDisrupt"
463704598235348992,2014-05-06 15:39:26,Excited to be partnering with the Hacking Journalism hackathon June 7-8 in Cambridge. Join us! http://t.co/h2RnlI7zfE @whichlight @MuckRock
463316890837086208,2014-05-05 13:58:49,RT @jashkenas: Your Monday morning universe-of-public-data Backbone.js example app — Enigma.io: http://t.co/W4yAif36eV
459814152203423746,2014-04-25 22:00:11,RT @BillGates: Watch this map chart 50 years of temperature extremes across the U.S.: http://t.co/1ikm0Meytq http://t.co/JzONuNb80S
459792105268072449,2014-04-25 20:32:35,RT @JoelGurin: #OpenData companies: @myAidin @OnDeckCapital @enigma_io present at @TheGovLab. Videos: http://t.co/sCzA1ITQ6n
459779353900220416,2014-04-25 19:41:54,RT @marc_dacosta: Exciting move from @Esri that has the potential to unlock an immense amount of #publicdata https://t.co/tqpWShVbIy
459707963251634176,2014-04-25 14:58:14,"Over the past 3 days, the Social Computing Group @medialab made 3  maps of permanent visa applicants using our data:
http://t.co/EwPIoCB2yW"
458648630023696384,2014-04-22 16:48:49,"Check out our post on @source about how me made our climate change map:

http://t.co/xHo21Uveav"
458636939973775360,2014-04-22 16:02:22,"The great people at @rOpenGov put together an #rstats client for our API:

http://t.co/ubroRYBPqw"
457204942911328256,2014-04-18 17:12:07,"Our friends at @cartodb remade our temperature anomaly map in #torque:  http://t.co/eX6Qh2wg9K
amazing work, @andrewxhill !"
456476786654998528,2014-04-16 16:58:41,NYC hackers:  Join us at our offices tonight for the first meeting of the  NYC Shell User Group with @thomaslevine: http://t.co/5SL1NLcdw6
456436241391968256,2014-04-16 14:17:34,.@Cezary @TreasuryIO Such an amazing dataset: https://t.co/t6NulrWblR
455716099061866497,2014-04-14 14:35:59,RT @blprnt: This map of temperature anomalies in the US over the list 50 years is perhaps the best climate data viz I've seen: http://t.co/…
455684498488057856,2014-04-14 12:30:25,@visualisingdata thanks!
454702496561500161,2014-04-11 19:28:17,"RT @enigmaindex: Since 2012, @Subway restaurants have failed health inspections 76 times in Chicago, IL.  https://t.co/c8nN5E5is4"
454361876659720192,2014-04-10 20:54:47,The Data Act passes the Senate - and we're on our way to more transparency in Federal Spending. http://t.co/KBukXq6lcP
